"User-ID;""ISBN"";""Book-Rating"""
"276725;""034545104X"";""0"""
"276726;""0155061224"";""5"""
"276727;""0446520802"";""0"""
"276729;""052165615X"";""3"""
"276729;""0521795028"";""6"""
"276733;""2080674722"";""0"""
"276736;""3257224281"";""8"""
"276737;""0600570967"";""6"""
"276744;""038550120X"";""7"""
"276745;""342310538"";""10"""
"276746;""0425115801"";""0"""
"276746;""0449006522"";""0"""
"276746;""0553561618"";""0"""
"276746;""055356451X"";""0"""
"276746;""0786013990"";""0"""
"276746;""0786014512"";""0"""
"276747;""0060517794"";""9"""
"276747;""0451192001"";""0"""
"276747;""0609801279"";""0"""
"276747;""0671537458"";""9"""
"276747;""0679776818"";""8"""
"276747;""0943066433"";""7"""
"276747;""1570231028"";""0"""
"276747;""1885408226"";""7"""
"276748;""0747558167"";""6"""
"276748;""3442437407"";""0"""
"276751;""033390804X"";""0"""
"276751;""3596218098"";""8"""
"276754;""0684867621"";""8"""
"276755;""0451166892"";""5"""
"276760;""8440682697"";""10"""
"276762;""034544003X"";""0"""
"276762;""0380000059"";""0"""
"276762;""0380711524"";""5"""
"276762;""0451167317"";""0"""
"276762;""0451454952"";""0"""
"276762;""0843920262"";""0"""
"276762;""3404122879"";""0"""
"276762;""3404182928"";""0"""
"276762;""3404611306"";""0"""
"276762;""342662429"";""0"""
"276762;""3426690179"";""0"""
"276762;""3442424216"";""0"""
"276762;""3442425573"";""0"""
"276762;""3453092007"";""8"""
"276762;""3453157745"";""0"""
"276762;""3453176944"";""0"""
"276762;""3453185137"";""0"""
"276762;""3453185323"";""0"""
"276762;""3453213025"";""3"""
"276762;""3453877241"";""0"""
"276762;""3492226604"";""0"""
"276762;""3517017442"";""0"""
"276762;""3596125006"";""0"""
"276762;""B0000BLD7X"";""0"""
"276762;""N3453124715"";""4"""
"276765;""9029716894"";""0"""
"276768;""9057868059"";""4"""
"276772;""0140279091"";""0"""
"276772;""0553572369"";""7"""
"276772;""0571058086"";""0"""
"276772;""3499230933"";""10"""
"276772;""3596151465"";""10"""
"276774;""0099543818"";""0"""
"276774;""3404147723"";""0"""
"276774;""3423111321"";""0"""
"276774;""3442136644"";""9"""
"276774;""3492232000"";""0"""
"276780;""8434811634"";""0"""
"276780;""8484330478"";""7"""
"276780;""8484332039"";""7"""
"276786;""2864322102"";""6"""
"276786;""8402065945"";""0"""
"276786;""8423314901"";""0"""
"276786;""842333533X"";""0"""
"276786;""8427911769"";""0"""
"276786;""8433914456"";""0"""
"276786;""8437606322"";""8"""
"276786;""8445072919"";""0"""
"276786;""8466300821"";""6"""
"276786;""847765011X"";""0"""
"276786;""8478442588"";""6"""
"276786;""8495368099"";""0"""
"276788;""0345443683"";""8"""
"276788;""043935806X"";""7"""
"276788;""055310666X"";""10"""
"276796;""0330332775"";""5"""
"276796;""0330367358"";""0"""
"276798;""0006379702"";""5"""
"276798;""3423084049"";""0"""
"276798;""3442131340"";""7"""
"276798;""3442437407"";""0"""
"276798;""3446202102"";""0"""
"276798;""3453073398"";""0"""
"276798;""3453115783"";""0"""
"276798;""3499134004"";""0"""
"276798;""349915398X"";""0"""
"276798;""3548603203"";""6"""
"276798;""3764501383"";""0"""
"276798;""3791535889"";""0"""
"276800;""0061054143"";""0"""
"276800;""0061054151"";""0"""
"276800;""0061056774"";""0"""
"276800;""0671021346"";""0"""
"276800;""0671024108"";""0"""
"276800;""1562827898"";""7"""
"276803;""9726954835"";""0"""
"276804;""0064405176"";""0"""
"276804;""0439104769"";""0"""
"276804;""0440498058"";""8"""
"276806;""8807817144"";""0"""
"276806;""8845915913"";""0"""
"276808;""0395547032"";""10"""
"276811;""0440414121"";""10"""
"276812;""8879839993"";""8"""
"276813;""8401328322"";""0"""
"276813;""8401461189"";""0"""
"276813;""8401471796"";""0"""
"276813;""8423996565"";""8"""
"276813;""8424130081"";""0"""
"276813;""8426449476"";""8"""
"276813;""8426449573"";""6"""
"276813;""8478884831"";""8"""
"276813;""8478885218"";""6"""
"276813;""8478885463"";""6"""
"276813;""8478886044"";""8"""
"276813;""8495618052"";""0"""
"276814;""0091830893"";""8"""
"276814;""0586207414"";""7"""
"276814;""0812571029"";""9"""
"276817;""0671749609"";""0"""
"276820;""0140062718"";""0"""
"276820;""0140260498"";""9"""
"276822;""0060096195"";""10"""
"276822;""0141310340"";""9"""
"276822;""0142302198"";""10"""
"276822;""0156006065"";""9"""
"276822;""0375821813"";""9"""
"276822;""038076041X"";""10"""
"276822;""0439087597"";""0"""
"276822;""0439401399"";""6"""
"276822;""0552546933"";""9"""
"276822;""0689804458"";""8"""
"276822;""0699854289"";""10"""
"276822;""0786812508"";""9"""
"276822;""0786817070"";""10"""
"276822;""0805057706"";""10"""
"276822;""1551925060"";""8"""
"276822;""1573248533"";""10"""
"276827;""000651118X"";""7"""
"276828;""0385272324"";""0"""
"276828;""2038701962"";""0"""
"276828;""2070264564"";""0"""
"276828;""2070334430"";""0"""
"276828;""2070403734"";""0"""
"276828;""2080680676"";""0"""
"276828;""2232122263"";""0"""
"276828;""2253044903"";""0"""
"276828;""2253150711"";""7"""
"276828;""2266076000"";""0"""
"276828;""2277221678"";""0"""
"276828;""2290321028"";""0"""
"276828;""2842190009"";""0"""
"276830;""0440225825"";""9"""
"276832;""0316781266"";""0"""
"276832;""0345446860"";""5"""
"276833;""0671876244"";""0"""
"276835;""3125785006"";""10"""
"276837;""0380005239"";""5"""
"276838;""1593080255"";""0"""
"276840;""0330201700"";""0"""
"276840;""0385729340"";""0"""
"276842;""3809407536"";""7"""
"276847;""0446364193"";""0"""
"276847;""3257200552"";""5"""
"276847;""3379015180"";""0"""
"276847;""3404145909"";""8"""
"276847;""3404148576"";""8"""
"276847;""3404921178"";""7"""
"276847;""3423071516"";""10"""
"276847;""3423204885"";""0"""
"276847;""3423205806"";""0"""
"276847;""3426029553"";""8"""
"276847;""3426622610"";""0"""
"276847;""3426671298"";""8"""
"276847;""344215121X"";""9"""
"276847;""3442413508"";""10"""
"276847;""3442422035"";""9"""
"276847;""3442435773"";""8"""
"276847;""3442437717"";""7"""
"276847;""3442441080"";""10"""
"276847;""3442442796"";""0"""
"276847;""3442444020"";""8"""
"276847;""3442446414"";""10"""
"276847;""3442448530"";""7"""
"276847;""3442449820"";""9"""
"276847;""3453137442"";""6"""
"276847;""3453870190"";""0"""
"276847;""3455077331"";""0"""
"276847;""347354034X"";""7"""
"276847;""3492231322"";""9"""
"276847;""349912176X"";""0"""
"276847;""3499222213"";""7"""
"276847;""3499228297"";""6"""
"276847;""3499232529"";""0"""
"276847;""3499233436"";""0"""
"276847;""3499264528"";""0"""
"276847;""3499433443"";""8"""
"276847;""3506464078"";""10"""
"276847;""3548602967"";""0"""
"276847;""3551551677"";""10"""
"276847;""3551551685"";""10"""
"276847;""3551551693"";""10"""
"276847;""3551551936"";""10"""
"276847;""359621078X"";""9"""
"276847;""3608932240"";""7"""
"276847;""360893541X"";""10"""
"276847;""3608935428"";""10"""
"276847;""3608935436"";""10"""
"276847;""374661922X"";""0"""
"276847;""3770131495"";""0"""
"276847;""3809024589"";""8"""
"276847;""3821815191"";""10"""
"276847;""3932069234"";""5"""
"276848;""3423100424"";""0"""
"276848;""3442096596"";""0"""
"276848;""3442440777"";""0"""
"276848;""3453009304"";""0"""
"276848;""3453042905"";""0"""
"276848;""3453061187"";""0"""
"276848;""3453071174"";""0"""
"276848;""3453127013"";""0"""
"276848;""3453211014"";""0"""
"276848;""3462026062"";""8"""
"276848;""349926028X"";""0"""
"276848;""3596122279"";""0"""
"276848;""3596287200"";""0"""
"276848;""3922524443"";""0"""
"276850;""0449217264"";""7"""
"276852;""0140621741"";""0"""
"276852;""055321358X"";""0"""
"276853;""8420457477"";""1"""
"276853;""8448034023"";""7"""
"276854;""0671034944"";""5"""
"276854;""074931012X"";""5"""
"276854;""0843946415"";""0"""
"276856;""2010173929"";""0"""
"276856;""20103389"";""0"""
"276856;""2012003494"";""0"""
"276856;""2013218826"";""0"""
"276856;""2013220162"";""0"""
"276856;""207033015X"";""0"""
"276856;""2070332985"";""0"""
"276856;""2203142278"";""0"""
"276856;""2205040561"";""0"""
"276856;""221096900X"";""0"""
"276856;""2253005274"";""0"""
"276856;""2723402983"";""0"""
"276856;""2747002748"";""0"""
"276856;""2800108584"";""0"""
"276856;""2800134259"";""0"""
"276856;""2800134267"";""0"""
"276856;""2800135522"";""0"""
"276856;""2800135565"";""0"""
"276856;""2800135719"";""0"""
"276856;""2800135727"";""0"""
"276856;""2803616998"";""0"""
"276856;""2907572458"";""0"""
"276857;""8439598459"";""6"""
"276859;""014014899X"";""0"""
"276859;""0140252517"";""6"""
"276859;""0140269967"";""0"""
"276859;""0140328742"";""0"""
"276859;""0140366830"";""0"""
"276859;""0140367446"";""0"""
"276859;""0425131378"";""0"""
"276859;""0517642689"";""7"""
"276859;""0600571165"";""0"""
"276859;""077104450X"";""8"""
